stdPYR
[4.87548952e-04 3.33636462e-04 8.38505087e-05]
stdR
[[4.87512503e-04 3.32608453e-04 8.63024973e-05]]
stdP
[[6.53098868e-05 9.92912777e-05 3.43383485e-05]]
meanPYR
[ 0.04788304 -0.0111437  -0.001368  ]
numb. data points
142
Position
 [-0.09642768  0.01955471  0.38100604]
 [-0.09642787  0.01955561  0.38099359]
 [-0.09643399  0.01956252  0.38104015]
 [-0.09643141  0.01955978  0.38101486]
 [-0.09643347  0.0195582   0.38103468]
 [-0.09642584  0.01955351  0.38100065]
 [-0.09643109  0.01956177  0.38101185]
 [-0.09642453  0.01955674  0.38098201]
 [-0.09642879  0.01956027  0.38099627]
 [-0.09643133  0.01956108  0.38100143]
 [-0.09643126  0.01956465  0.38097744]
 [-0.09642794  0.0195674   0.38101791]
 [-0.0964299   0.01956785  0.38100296]
 [-0.09643015  0.0195733   0.38099105]
 [-0.0964342   0.01957264  0.3810465 ]
 [-0.09643464  0.01957494  0.38103419]
 [-0.09643069  0.01957707  0.38101004]
 [-0.09642935  0.0195681   0.38100388]
 [-0.09642727  0.01957113  0.38101171]
 [-0.09643281  0.01956452  0.3810102 ]
 [-0.09643973  0.01957504  0.38104756]
 [-0.09643402  0.01958023  0.38100506]
 [-0.09644013  0.01958415  0.38103498]]
PitchYawRoll
[[ 0.04866908 -0.01026347 -0.00165211]
 [ 0.04878208 -0.0104479  -0.00156383]
 [ 0.04967802 -0.01023965 -0.00157901]
 [ 0.04872615 -0.01030394 -0.00169482]
 [ 0.04867947 -0.01047393 -0.00167524]
 [ 0.04905294 -0.01049233 -0.00161828]
 [ 0.04959738 -0.01052617 -0.00164007]
 [ 0.04898482 -0.01064363 -0.00163991]
 [ 0.04885811 -0.01086995 -0.00156553]
 [ 0.04928651 -0.01113908 -0.00148788]
 [ 0.04943243 -0.0110726  -0.00148923]
 [ 0.04897885 -0.00992851 -0.0012844 ]
 [ 0.04921644 -0.01123114 -0.00141207]
 [ 0.0488966  -0.00991199 -0.00129126]
 [ 0.0485162  -0.0108691  -0.00115414]
 [ 0.04862658 -0.01038795 -0.00121044]
 [ 0.04825553 -0.01039597 -0.00132734]
 [ 0.04803446 -0.01077373 -0.00129529]
 [ 0.04861709 -0.01093307 -0.00118022]
 [ 0.04831978 -0.01085235 -0.00124384]
 [ 0.04820218 -0.01098452 -0.00124102]
 [ 0.04885983 -0.01147483 -0.00124591]
 [ 0.04806665 -0.01090459 -0.00128403]
