stdPYR
[0.00082714 0.00125463 0.00014013]
stdR
[[0.00192982 0.00121261 0.0005456 ]]
stdP
[[1.52229708e-04 1.03750558e-04 9.92237812e-05]]
meanPYR
[-0.45545701 -0.0540962  -3.13847743]
numb. data points
146
Position
 [ 0.02552494 -0.03274382  0.77416934]
 [ 0.02553236 -0.03273246  0.77419696]
 [ 0.02553395 -0.03273139  0.77414171]
 [ 0.02552463 -0.03272186  0.77403749]
 [ 0.0255382  -0.03273078  0.77406568]
 [ 0.02552503 -0.03275635  0.7741883 ]
 [ 0.02553093 -0.03272857  0.77416023]
 [ 0.02552591 -0.03274101  0.77417009]
 [ 0.02552183 -0.03272371  0.77413021]
 [ 0.02552754 -0.03271781  0.7741163 ]
 [ 0.02552228 -0.03272756  0.77421152]
 [ 0.02552498 -0.03271178  0.77406284]
 [ 0.02552212 -0.03270025  0.7740094 ]
 [ 0.02551694 -0.03273057  0.77413852]
 [ 0.02552525 -0.03270492  0.77408359]
 [ 0.02551948 -0.03269189  0.77405321]
 [ 0.02551724 -0.03270189  0.77404646]
 [ 0.02551779 -0.03270735  0.77414694]
 [ 0.02550601 -0.03270158  0.77414081]
 [ 0.02550598 -0.0327038   0.77418055]]
PitchYawRoll
[[-0.45672288 -0.05612342 -3.13853141]
 [-0.45695266 -0.05565871 -3.13870896]
 [-0.45629463 -0.05694783 -3.13843514]
 [-0.45675311 -0.05667264 -3.13849517]
 [-0.45654205 -0.05672016 -3.13844156]
 [-0.45683176 -0.0572886  -3.13832035]
 [-0.45657024 -0.056188   -3.13852753]
 [-0.45658739 -0.05613662 -3.13857494]
 [-0.45629072 -0.05689943 -3.13832303]
 [-0.45737859 -0.05675266 -3.13836365]
 [-0.4564881  -0.05709754 -3.13828051]
 [-0.4562203  -0.05649215 -3.13829104]
 [-0.45710782 -0.05639836 -3.1385773 ]
 [-0.45594805 -0.0558241  -3.13854534]
 [-0.45651064 -0.05625552 -3.13840744]
 [-0.45665254 -0.05578853 -3.13862354]
 [-0.4570096  -0.05642772 -3.13820469]
 [-0.45619881 -0.0552114  -3.13850738]
 [-0.45644734 -0.05560501 -3.13849275]
 [-0.45628364 -0.05576405 -3.13846632]
 [-0.45613583 -0.05596746 -3.13838344]
 [-0.45597862 -0.05625459 -3.13842361]
 [-0.45630098 -0.05499148 -3.13874311]
 [-0.45590216 -0.05578923 -3.13833183]
 [-0.45529835 -0.05649255 -3.13821586]
 [-0.45541074 -0.0564199  -3.13816918]
 [-0.45550554 -0.05640361 -3.13825467]
 [-0.45509985 -0.05629027 -3.13813663]
 [-0.45543958 -0.05545449 -3.13824655]
 [-0.45629949 -0.05537855 -3.13832033]
 [-0.45589314 -0.055248   -3.13842271]
 [-0.45541516 -0.05569083 -3.13830786]
 [-0.45554451 -0.05555413 -3.13832374]
 [-0.45556175 -0.05617861 -3.1380916 ]
 [-0.45525509 -0.05477298 -3.1384519 ]
 [-0.45546813 -0.05451935 -3.13855126]
 [-0.45599272 -0.05503698 -3.13847814]
 [-0.45619501 -0.0543298  -3.13842518]
 [-0.45604679 -0.05462386 -3.13842868]
 [-0.4561167  -0.05378586 -3.13858426]
 [-0.45488562 -0.05429317 -3.13848063]
 [-0.45605959 -0.0545003  -3.13825502]
 [-0.45623037 -0.05477318 -3.13828823]
 [-0.45685065 -0.05421945 -3.13848508]
 [-0.45594376 -0.05376706 -3.13858071]
 [-0.45552381 -0.05482547 -3.13818205]
 [-0.45615868 -0.0538394  -3.13848437]
 [-0.45628539 -0.05337342 -3.13856037]
 [-0.45579817 -0.05444587 -3.13839662]
 [-0.45601559 -0.05433447 -3.13839316]
 [-0.45598634 -0.05467519 -3.13830925]
 [-0.45601827 -0.05383418 -3.13861856]
 [-0.45594649 -0.05372155 -3.13850523]
 [-0.45528073 -0.05394865 -3.1384361 ]
 [-0.45712482 -0.05374618 -3.13857529]
 [-0.45500023 -0.05410407 -3.13843339]
 [-0.45532212 -0.05392724 -3.13861535]
 [-0.45556685 -0.05390791 -3.13867249]
 [-0.45609094 -0.0532958  -3.13864812]
 [-0.45598868 -0.05319175 -3.13861899]
 [-0.45643201 -0.05283893 -3.13875869]
 [-0.45544188 -0.05408544 -3.1384174 ]
 [-0.45568156 -0.05340455 -3.13865895]
 [-0.45609143 -0.05336739 -3.13874765]
 [-0.45625384 -0.05389648 -3.13853021]
 [-0.45556403 -0.05319016 -3.13846545]
 [-0.45579019 -0.05383723 -3.1383572 ]
 [-0.45525285 -0.05304613 -3.13863384]
 [-0.45603049 -0.0530006  -3.13853594]
 [-0.45580042 -0.05380339 -3.13840054]
 [-0.45581994 -0.05306074 -3.13869034]
 [-0.45585579 -0.05239048 -3.13865289]
 [-0.45580852 -0.05360509 -3.13847206]
 [-0.45597675 -0.0526216  -3.13867516]
 [-0.45655069 -0.05317623 -3.13855034]
 [-0.45604826 -0.05294165 -3.13867608]
 [-0.45665302 -0.05254009 -3.13875589]
 [-0.45633245 -0.05303228 -3.13859538]
 [-0.45517688 -0.0532043  -3.13865075]
 [-0.45599813 -0.05401707 -3.13852617]
 [-0.45566233 -0.05277376 -3.13875956]
 [-0.45551522 -0.05210972 -3.13874848]
 [-0.4557712  -0.05251347 -3.13875173]
 [-0.45471178 -0.05379398 -3.13834646]
 [-0.45531134 -0.0530383  -3.13853231]
 [-0.4552811  -0.05326017 -3.13856558]
 [-0.45472222 -0.05342579 -3.13842457]
 [-0.45545895 -0.05256483 -3.13873918]
 [-0.45559597 -0.05345638 -3.13847458]
 [-0.45539197 -0.05371229 -3.13847178]
 [-0.45562933 -0.05334038 -3.13843867]
 [-0.45556675 -0.05351294 -3.13844893]
 [-0.45522931 -0.05264614 -3.13866094]
 [-0.45558715 -0.05304602 -3.13854255]
 [-0.45486122 -0.05333041 -3.13864587]
 [-0.45515302 -0.05343198 -3.13852929]
 [-0.4553377  -0.05321496 -3.13853017]
 [-0.45459625 -0.05316278 -3.13839633]
 [-0.45404622 -0.05337513 -3.13850531]
 [-0.45439005 -0.0530502  -3.13844923]
 [-0.45452143 -0.05319936 -3.13838944]
 [-0.45470434 -0.0537671  -3.13855449]
 [-0.45426133 -0.05353055 -3.13845702]
 [-0.45444225 -0.0532661  -3.13857972]
 [-0.45513007 -0.05329953 -3.13858844]
 [-0.45519438 -0.05370719 -3.13840082]
 [-0.45389073 -0.05302022 -3.13848851]
 [-0.45491099 -0.05372698 -3.13849063]
 [-0.45491554 -0.05371048 -3.13838204]
 [-0.45459236 -0.05333146 -3.13848385]
 [-0.45402454 -0.05349452 -3.13840516]
 [-0.4548216  -0.05412032 -3.13826788]
 [-0.45484571 -0.05415926 -3.13833828]
 [-0.45427553 -0.0529522  -3.1386183 ]
 [-0.45487518 -0.05375128 -3.1382646 ]
 [-0.45473418 -0.05345332 -3.13843917]
 [-0.45485583 -0.05389249 -3.13829928]
 [-0.45485121 -0.05298591 -3.13869258]
 [-0.45442923 -0.0528389  -3.13859093]
 [-0.45391248 -0.05341707 -3.13825699]
 [-0.45506304 -0.05336483 -3.1385256 ]
 [-0.45483192 -0.05349012 -3.13834816]
 [-0.45470904 -0.05378885 -3.13835943]
 [-0.45460544 -0.05422328 -3.13840132]
 [-0.45434113 -0.0531853  -3.13847828]
 [-0.45442818 -0.05357176 -3.13849253]
 [-0.45549038 -0.05272402 -3.13839433]
 [-0.45458115 -0.05323562 -3.13848946]
 [-0.45503791 -0.05319815 -3.13840682]
 [-0.4542681  -0.05338859 -3.13834332]
 [-0.45450679 -0.05317238 -3.13852096]
 [-0.4553423  -0.05312529 -3.13841644]
 [-0.45439377 -0.05314435 -3.13841191]
 [-0.45432299 -0.05258591 -3.13869597]
 [-0.45441237 -0.05290749 -3.13855536]
 [-0.45452425 -0.053158   -3.13847362]
 [-0.45435715 -0.05308293 -3.13848169]
 [-0.45390241 -0.05317007 -3.13849691]
 [-0.45409697 -0.05333185 -3.13845107]
 [-0.45481798 -0.05274349 -3.13857949]
 [-0.45459737 -0.05366863 -3.13838651]
 [-0.45389824 -0.05315631 -3.13853147]
 [-0.45488591 -0.05325208 -3.13844583]
 [-0.45419701 -0.05318796 -3.13854544]
 [-0.45398593 -0.05323157 -3.13836764]
 [-0.45383071 -0.05335305 -3.13845762]]
