stdPYR
[0.00127293 0.00231221 0.00044689]
stdR
[[0.00363627 0.00199613 0.00040995]]
stdP
[[0.00014802 0.0001276  0.0004369 ]]
meanPYR
[-0.00412181 -0.02563252  3.13763317]
numb. data points
139
Position
 [ 0.02012315 -0.06349438  0.74964687]
 [ 0.02012318 -0.06348646  0.7495264 ]
 [ 0.02011599 -0.06349914  0.74955794]
 [ 0.02011924 -0.06350226  0.7495523 ]
 [ 0.02011662 -0.06351592  0.74953475]
 [ 0.02011844 -0.06353543  0.74977671]
 [ 0.02011064 -0.06353698  0.74965857]
 [ 0.02012079 -0.06355426  0.74968809]
 [ 0.02010752 -0.06354034  0.749491  ]
 [ 0.02010019 -0.06355359  0.7496251 ]
 [ 0.02010191 -0.06356493  0.74957374]
 [ 0.02010367 -0.06355678  0.74952507]]
PitchYawRoll
[[-6.44518893e-03 -1.94967407e-02  3.13668626e+00]
 [-5.57677528e-03 -2.00924509e-02  3.13662021e+00]
 [-6.58855316e-03 -1.99686124e-02  3.13672186e+00]
 [-7.19338678e-03 -2.09999097e-02  3.13679576e+00]
 [-6.77542114e-03 -2.01865786e-02  3.13676129e+00]
 [-5.23332027e-03 -2.02028068e-02  3.13666380e+00]
 [-6.64020997e-03 -2.08163858e-02  3.13680540e+00]
 [-5.56286869e-03 -2.05618611e-02  3.13673027e+00]
 [-5.79777239e-03 -2.11504513e-02  3.13679072e+00]
 [-5.69866164e-03 -2.11802528e-02  3.13671201e+00]
 [-6.53771652e-03 -2.10003705e-02  3.13676855e+00]
 [-6.05461496e-03 -2.04137648e-02  3.13671824e+00]
 [-5.98125611e-03 -2.12944387e-02  3.13676425e+00]
 [-6.74853991e-03 -2.14073242e-02  3.13678343e+00]
 [-5.71708629e-03 -2.28821881e-02  3.13695224e+00]
 [-7.98966118e-03 -2.21768809e-02  3.13691544e+00]
 [-6.41286066e-03 -2.21136950e-02  3.13681032e+00]
 [-6.18670626e-03 -2.26818420e-02  3.13696422e+00]
 [-6.24715049e-03 -2.19368438e-02  3.13688171e+00]
 [-5.11172247e-03 -2.23673484e-02  3.13688608e+00]
 [-5.35977927e-03 -2.26856767e-02  3.13692499e+00]
 [-5.99050551e-03 -2.23254532e-02  3.13694995e+00]
 [-4.85340093e-03 -2.31480267e-02  3.13703409e+00]
 [-6.17327640e-03 -2.23959735e-02  3.13697658e+00]
 [-4.09574659e-03 -2.35769314e-02  3.13700553e+00]
 [-5.38241504e-03 -2.38363355e-02  3.13708750e+00]
 [-5.67583587e-03 -2.36599694e-02  3.13728431e+00]
 [-4.39427195e-03 -2.42468748e-02  3.13715861e+00]
 [-5.24010277e-03 -2.49798147e-02  3.13732356e+00]
 [-5.87939652e-03 -2.46978782e-02  3.13734781e+00]
 [-5.54288712e-03 -2.45712820e-02  3.13716150e+00]
 [-4.35577024e-03 -2.40845339e-02  3.13729558e+00]
 [-3.55397277e-03 -2.60039179e-02  3.13739633e+00]
 [-3.66941815e-03 -2.33985180e-02  3.13729305e+00]
 [-3.30489641e-03 -2.32159332e-02  3.13730347e+00]
 [-2.84179728e-03 -2.41715076e-02  3.13740084e+00]
 [-3.40741183e-03 -2.35146680e-02  3.13739451e+00]
 [-2.59799715e-03 -2.32339522e-02  3.13731819e+00]
 [-1.61113998e-03 -2.34221289e-02  3.13731270e+00]
 [-2.07552552e-03 -2.47967157e-02  3.13754310e+00]
 [-3.30969234e-03 -2.43193225e-02  3.13744858e+00]
 [-3.43826968e-03 -2.47516876e-02  3.13745672e+00]
 [-3.79632684e-03 -2.50068703e-02  3.13754626e+00]
 [-2.17482743e-03 -2.48811509e-02  3.13745806e+00]
 [-2.57565523e-03 -2.53848071e-02  3.13755050e+00]
 [-3.08544097e-03 -2.44652458e-02  3.13749476e+00]
 [-3.55012259e-03 -2.61024783e-02  3.13773308e+00]
 [-3.17938541e-03 -2.52130728e-02  3.13763321e+00]
 [-3.53736320e-03 -2.54193812e-02  3.13762637e+00]
 [-3.39913738e-03 -2.58982267e-02  3.13768639e+00]
 [-3.59218115e-03 -2.55469813e-02  3.13769757e+00]
 [-3.22921900e-03 -2.63887631e-02  3.13763330e+00]
 [-4.41591339e-03 -2.54568484e-02  3.13766184e+00]
 [-3.17319424e-03 -2.53277367e-02  3.13754023e+00]
 [-2.38983876e-03 -2.67118999e-02  3.13776260e+00]
 [-3.95421633e-03 -2.61031027e-02  3.13769055e+00]
 [-3.79977614e-03 -2.60246493e-02  3.13776715e+00]
 [-1.83692143e-03 -2.70626128e-02  3.13786156e+00]
 [-2.36021924e-03 -2.73168386e-02  3.13782384e+00]
 [-3.48490051e-03 -2.64032338e-02  3.13777826e+00]
 [-3.03657477e-03 -2.65061818e-02  3.13770042e+00]
 [-2.40492049e-03 -2.55560249e-02  3.13764333e+00]
 [-2.43324331e-03 -2.69585846e-02  3.13776192e+00]
 [-4.37655779e-03 -2.73764767e-02  3.13790761e+00]
 [-1.64021230e-03 -2.72087258e-02  3.13771965e+00]
 [-2.90014231e-03 -2.67123171e-02  3.13773438e+00]
 [-2.30178885e-03 -2.62979831e-02  3.13777173e+00]
 [-2.37444189e-03 -2.71621238e-02  3.13781677e+00]
 [-3.09522707e-03 -2.58734571e-02  3.13774243e+00]
 [-2.70671658e-03 -2.66973673e-02  3.13778146e+00]
 [-4.00998892e-03 -2.74212516e-02  3.13792581e+00]
 [-2.25547590e-03 -2.66226568e-02  3.13781459e+00]
 [-3.21048583e-03 -2.63002211e-02  3.13780581e+00]
 [-3.12411650e-03 -2.80177673e-02  3.13793858e+00]
 [-2.79655992e-03 -2.68739293e-02  3.13788473e+00]
 [-4.15532974e-03 -2.79649557e-02  3.13796016e+00]
 [-3.22903000e-03 -2.58551172e-02  3.13763100e+00]
 [-3.33243187e-03 -2.59532612e-02  3.13773695e+00]
 [-3.05168985e-03 -2.72144641e-02  3.13798055e+00]
 [-2.82983196e-03 -2.76217499e-02  3.13786786e+00]
 [-3.05504797e-03 -2.79579003e-02  3.13790677e+00]
 [-2.93258621e-03 -2.74887876e-02  3.13795640e+00]
 [-4.04421846e-03 -2.76496025e-02  3.13803550e+00]
 [-1.39107308e-03 -2.67393789e-02  3.13777060e+00]
 [-3.65141459e-03 -2.79804141e-02  3.13794185e+00]
 [-4.26172148e-03 -2.76974118e-02  3.13802588e+00]
 [-3.45519353e-03 -2.78633412e-02  3.13788833e+00]
 [-3.75900719e-03 -2.68927473e-02  3.13786433e+00]
 [-3.59988619e-03 -2.77179135e-02  3.13793089e+00]
 [-4.35140539e-03 -2.74179235e-02  3.13800774e+00]
 [-4.44653432e-03 -2.68885832e-02  3.13793602e+00]
 [-4.06946425e-03 -2.67600522e-02  3.13786743e+00]
 [-4.27644433e-03 -2.68651905e-02  3.13784704e+00]
 [-3.51977212e-03 -2.67972798e-02  3.13776829e+00]
 [-4.25481288e-03 -2.75618144e-02  3.13791249e+00]
 [-3.76998923e-03 -2.80826498e-02  3.13790019e+00]
 [-3.12606800e-03 -2.69406228e-02  3.13795011e+00]
 [-3.86528780e-03 -2.76428137e-02  3.13798410e+00]
 [-2.91732620e-03 -2.65755282e-02  3.13788792e+00]
 [-3.50938667e-03 -2.77747800e-02  3.13793743e+00]
 [-4.64784215e-03 -2.76147304e-02  3.13799101e+00]
 [-4.90231918e-03 -2.74154726e-02  3.13791849e+00]
 [-3.48806491e-03 -2.71784391e-02  3.13802255e+00]
 [-4.63532654e-03 -2.89948452e-02  3.13821452e+00]
 [-4.85791204e-03 -2.76689852e-02  3.13798073e+00]
 [-3.69069077e-03 -2.81251123e-02  3.13800258e+00]
 [-3.40308734e-03 -2.71415614e-02  3.13793491e+00]
 [-4.91918110e-03 -2.72424983e-02  3.13802620e+00]
 [-4.15738522e-03 -2.73190649e-02  3.13802248e+00]
 [-4.17519362e-03 -2.72505603e-02  3.13805915e+00]
 [-4.22957738e-03 -2.77269986e-02  3.13801798e+00]
 [-3.15841042e-03 -2.68925480e-02  3.13795119e+00]
 [-4.39390614e-03 -2.75679368e-02  3.13805254e+00]
 [-3.36333231e-03 -2.66314844e-02  3.13792136e+00]
 [-2.83639771e-03 -2.75236525e-02  3.13792403e+00]
 [-4.93450927e-03 -2.74023888e-02  3.13805274e+00]
 [-3.72185803e-03 -2.85159166e-02  3.13810497e+00]
 [-4.29130560e-03 -2.79365111e-02  3.13806999e+00]
 [-4.15109019e-03 -2.78653997e-02  3.13814194e+00]
 [-5.37288071e-03 -2.72462843e-02  3.13811743e+00]
 [-4.15988947e-03 -2.73558747e-02  3.13807217e+00]
 [-3.95980971e-03 -2.69962005e-02  3.13808326e+00]
 [-3.92513567e-03 -2.76527730e-02  3.13806058e+00]
 [-4.06191999e-03 -2.69724782e-02  3.13804614e+00]
 [-4.48979133e-03 -2.67676907e-02  3.13796005e+00]
 [-5.36071780e-03 -2.73223207e-02  3.13803146e+00]
 [-5.08841258e-03 -2.67973461e-02  3.13803821e+00]
 [-4.48381711e-03 -2.69698854e-02  3.13804735e+00]
 [-3.99401272e-03 -2.69889512e-02  3.13809539e+00]
 [-4.95797268e-03 -2.77431168e-02  3.13810554e+00]
 [-4.57674822e-03 -2.75590962e-02  3.13808343e+00]
 [-3.63643044e-03 -2.69427038e-02  3.13802320e+00]
 [-5.39708637e-03 -2.64446792e-02  3.13806955e+00]
 [-4.75910035e-03 -2.72854997e-02  3.13809021e+00]
 [-5.00289367e-03 -2.68141476e-02  3.13792195e+00]
 [-3.36232514e-03 -2.74164186e-02  3.13804138e+00]
 [-4.14896262e-03 -2.70566658e-02  3.13810026e+00]
 [-3.60708432e-03 -2.70510544e-02  3.13802225e+00]
 [-4.32003243e-03 -2.73513442e-02  3.13805139e+00]]
