stdPYR
[0.00030284 0.00029058 0.00010083]
stdR
[[0.00029032 0.00030556 0.00010866]]
stdP
[[8.51467347e-05 1.46176544e-05 3.42067021e-05]]
meanPYR
[0.04824607 0.03955393 0.4098705 ]
numb. data points
182
Position
 [-0.08070224 -0.00897246  0.38474715]
 [-0.08069545 -0.00898542  0.38461059]
 [-0.08070299 -0.00897245  0.38481726]
 [-0.08070307 -0.00897405  0.38471469]
 [-0.08070072 -0.00897443  0.38476861]
 [-0.080705   -0.00898262  0.38472066]
 [-0.08070294 -0.0089773   0.38473801]
 [-0.08070408 -0.0089857   0.38473557]
 [-0.08070932 -0.00898716  0.38470574]
 [-0.0807051  -0.00897959  0.38470097]
 [-0.08070232 -0.00899676  0.38471361]
 [-0.08071071 -0.00898808  0.38469336]
 [-0.08071091 -0.00898874  0.38472924]
 [-0.08071087 -0.00899261  0.38468233]
 [-0.08070824 -0.00900011  0.38472082]
 [-0.08070814 -0.00899915  0.38464911]
 [-0.08071279 -0.00899504  0.38470407]
 [-0.08071534 -0.00899596  0.38470095]
 [-0.08071342 -0.00898958  0.38474327]
 [-0.08072344 -0.00899035  0.38473577]
 [-0.08072013 -0.00899038  0.38471486]
 [-0.08072436 -0.00898367  0.38477959]
 [-0.08072194 -0.00898864  0.38471061]
 [-0.08072536 -0.00898849  0.38472351]
 [-0.08072012 -0.00898987  0.38466542]
 [-0.08072776 -0.0089847   0.38471762]
 [-0.08072373 -0.00898219  0.3847535 ]
 [-0.08072592 -0.00897907  0.38476003]
 [-0.080727   -0.00897343  0.38476721]
 [-0.08072064 -0.00898435  0.38477722]
 [-0.08072238 -0.00897511  0.38472592]
 [-0.08072856 -0.00896902  0.38472838]
 [-0.08071958 -0.00897982  0.38470602]
 [-0.08072584 -0.00896933  0.3847144 ]
 [-0.08073154 -0.00896424  0.38470982]
 [-0.08072861 -0.00896565  0.38473129]
 [-0.0807239  -0.0089634   0.3846974 ]
 [-0.08072815 -0.00896084  0.3847357 ]
 [-0.08072347 -0.008959    0.38471087]
 [-0.08072361 -0.00895914  0.38464175]
 [-0.08072443 -0.00896139  0.38472699]
 [-0.08072542 -0.00895499  0.38469328]
 [-0.08072682 -0.0089489   0.38474714]
 [-0.08072745 -0.00895439  0.38472171]
 [-0.08073342 -0.00895369  0.38468758]
 [-0.08073017 -0.00894781  0.38473163]
 [-0.08073032 -0.00894999  0.38472396]
 [-0.08072661 -0.00895159  0.38475134]
 [-0.08072667 -0.00894669  0.38472096]
 [-0.0807276  -0.0089431   0.38474053]]
PitchYawRoll
[[0.04726761 0.03943443 0.40994425]
 [0.04762314 0.03904394 0.41005479]
 [0.04822665 0.03940126 0.41003783]
 [0.04776755 0.03942015 0.40998376]
 [0.04789618 0.03906138 0.41006079]
 [0.04796079 0.03930704 0.40999531]
 [0.0483099  0.0390634  0.41004414]
 [0.04804216 0.03929389 0.41008498]
 [0.04777032 0.03907465 0.41006511]
 [0.04810802 0.03892067 0.41007697]
 [0.04769371 0.038683   0.41016104]
 [0.0477848  0.03884025 0.41010369]
 [0.04793662 0.03913891 0.41007491]
 [0.04821419 0.03897722 0.410138  ]
 [0.04836577 0.03931281 0.41004011]
 [0.048532   0.03902554 0.41007811]
 [0.04774669 0.03906999 0.41006602]
 [0.04791566 0.03912779 0.4100312 ]
 [0.04812409 0.0391041  0.41005825]
 [0.04788434 0.03906239 0.41009705]
 [0.0482266  0.03954201 0.41005079]
 [0.04840725 0.03906413 0.41006536]
 [0.04794593 0.03921654 0.41001917]
 [0.04819736 0.03956498 0.40997624]
 [0.04829784 0.03910156 0.40997615]
 [0.04827663 0.0390882  0.41003919]
 [0.04826741 0.03966666 0.40995664]
 [0.04799474 0.03902906 0.41005524]
 [0.04855927 0.03961974 0.40997271]
 [0.04795878 0.03964094 0.40993666]
 [0.04850826 0.03976268 0.40988017]
 [0.04818478 0.03968849 0.40990635]
 [0.04844869 0.03953904 0.40997097]
 [0.04829962 0.03944292 0.41001523]
 [0.04793565 0.03913087 0.40995524]
 [0.04749449 0.03942467 0.40996081]
 [0.0481309  0.0394732  0.41002786]
 [0.0483115  0.03951106 0.40996152]
 [0.0487766  0.03949085 0.41003244]
 [0.04868715 0.03958647 0.40992207]
 [0.04814672 0.03965187 0.40994187]
 [0.0479497  0.03926189 0.40995663]
 [0.04822684 0.0394573  0.40991865]
 [0.04829942 0.03964345 0.40988248]
 [0.04801688 0.03953397 0.40988349]
 [0.0486217  0.03962343 0.40991167]
 [0.04887601 0.03956045 0.40988628]
 [0.048562   0.03887172 0.41003053]
 [0.0481489  0.03964796 0.40989342]
 [0.04842327 0.03871344 0.40994349]
 [0.04823457 0.03935511 0.40991757]
 [0.04815948 0.03996528 0.40982505]
 [0.04809021 0.03984535 0.40988799]
 [0.04784216 0.03910437 0.40991473]
 [0.04826292 0.03944847 0.4098952 ]
 [0.04797023 0.03932236 0.40982941]
 [0.0477996  0.0395863  0.40981291]
 [0.04829727 0.03957255 0.4098561 ]
 [0.04811393 0.03925564 0.40984881]
 [0.04787178 0.03935081 0.40984918]
 [0.04865951 0.03930779 0.40994131]
 [0.04810647 0.03993518 0.40986936]
 [0.04808309 0.03964709 0.40975675]
 [0.048009   0.03955035 0.40988738]
 [0.04807526 0.03916809 0.40987406]
 [0.04789787 0.03984767 0.40984341]
 [0.04828567 0.03961472 0.40981524]
 [0.04817889 0.03933629 0.40993221]
 [0.04820945 0.03928472 0.40990508]
 [0.0478875  0.03925732 0.40986549]
 [0.04846114 0.03955246 0.40990811]
 [0.04828892 0.03960974 0.40980199]
 [0.04837482 0.03929351 0.40988514]
 [0.04788564 0.03974245 0.40979813]
 [0.0480225  0.03957522 0.40990045]
 [0.04814236 0.0391464  0.40997298]
 [0.04811334 0.03977723 0.40985305]
 [0.04786054 0.0395967  0.40987574]
 [0.04859378 0.03956219 0.40989398]
 [0.04829759 0.0393756  0.40986825]
 [0.04799457 0.03928281 0.40995231]
 [0.04833738 0.03935933 0.40987628]
 [0.04817124 0.03952075 0.40987886]
 [0.04838296 0.03947301 0.40987808]
 [0.04826361 0.03932499 0.40986067]
 [0.04812493 0.03960284 0.40987148]
 [0.04793866 0.03958397 0.40986844]
 [0.04823588 0.03959331 0.40989612]
 [0.04828553 0.03980015 0.40983477]
 [0.04883447 0.03961809 0.40981949]
 [0.04826096 0.03955438 0.40986778]
 [0.04824023 0.03984444 0.4098806 ]
 [0.04825517 0.03982243 0.40983561]
 [0.04807196 0.03933295 0.40980637]
 [0.04858101 0.03978133 0.40985934]
 [0.04820771 0.03949063 0.40988616]
 [0.04849164 0.03986631 0.4098384 ]
 [0.04801209 0.03981289 0.4098044 ]
 [0.04806213 0.03974611 0.40981796]
 [0.04862101 0.03950637 0.40988304]
 [0.04837464 0.03929534 0.40986645]
 [0.04774843 0.03994815 0.40978806]
 [0.04832243 0.03990057 0.40980945]
 [0.0481159  0.0395784  0.40980769]
 [0.04839417 0.04001113 0.40979108]
 [0.04848205 0.03995756 0.40985203]
 [0.04821587 0.03996336 0.40978758]
 [0.04838274 0.03983533 0.40983067]
 [0.04850721 0.03966288 0.40979531]
