stdPYR
[0.00031903 0.00051407 0.00010146]
stdR
[[0.00076941 0.00047502 0.00024447]]
stdP
[[1.89552692e-04 3.22401034e-05 1.34192864e-04]]
meanPYR
[-0.6932635  -0.05778001 -3.13686601]
numb. data points
149
Position
 [ 0.02788264 -0.01718382  0.79160495]
 [ 0.02787224 -0.01717597  0.79179603]
 [ 0.02785934 -0.01720182  0.79183986]
 [ 0.0278689  -0.01717036  0.79183009]
 [ 0.02787496 -0.01718657  0.79179708]
 [ 0.02786651 -0.01719097  0.7918965 ]
 [ 0.02786786 -0.01718683  0.79178503]
 [ 0.02787268 -0.01719773  0.79178406]
 [ 0.02787887 -0.01719752  0.79180158]
 [ 0.0278744  -0.01720046  0.791762  ]
 [ 0.02786664 -0.01719021  0.79174826]
 [ 0.02786933 -0.01720012  0.79177829]
 [ 0.02787684 -0.01719867  0.79182815]
 [ 0.02788238 -0.01717716  0.79167311]
 [ 0.02788863 -0.01718303  0.79166744]
 [ 0.02787235 -0.01721248  0.79185189]
 [ 0.02787551 -0.01720437  0.79180722]
 [ 0.02787229 -0.01720817  0.79188097]
 [ 0.02788345 -0.01722306  0.79172514]
 [ 0.02788882 -0.0172044   0.79163558]
 [ 0.02786517 -0.01719765  0.79175676]
 [ 0.02786832 -0.01721444  0.79182581]
 [ 0.02786506 -0.01719835  0.79178312]]
PitchYawRoll
[[-0.69291751 -0.05903326 -3.13700017]
 [-0.69335921 -0.05897056 -3.13678392]
 [-0.69310617 -0.05924877 -3.13691281]
 [-0.69362469 -0.05857834 -3.1368934 ]
 [-0.69342651 -0.0589269  -3.13697477]
 [-0.69362904 -0.05891459 -3.13698862]
 [-0.69400309 -0.05852133 -3.1371141 ]
 [-0.69333011 -0.05879427 -3.1370119 ]
 [-0.69310459 -0.05902564 -3.13692573]
 [-0.69349202 -0.05895703 -3.13696318]
 [-0.69312989 -0.05865812 -3.13701811]
 [-0.69342359 -0.05927425 -3.13660635]
 [-0.69303772 -0.05854831 -3.13686559]
 [-0.6930323  -0.05888177 -3.13671648]
 [-0.69290493 -0.05864241 -3.13690987]
 [-0.69305082 -0.05869405 -3.13669448]
 [-0.69298395 -0.05858837 -3.13673304]
 [-0.6932325  -0.05835144 -3.13670355]
 [-0.69340601 -0.0582989  -3.13679093]
 [-0.69337857 -0.05863341 -3.13677345]
 [-0.6934986  -0.05806411 -3.1368167 ]
 [-0.69317845 -0.05825791 -3.13681656]
 [-0.69295013 -0.05822275 -3.13693636]
 [-0.69298988 -0.05807285 -3.13685694]
 [-0.69330904 -0.0582791  -3.13684249]
 [-0.69322066 -0.05812343 -3.1367948 ]
 [-0.69293676 -0.05808769 -3.13687979]
 [-0.69331678 -0.05830191 -3.13675893]
 [-0.69349499 -0.05773339 -3.13692789]
 [-0.69330009 -0.05787601 -3.13700327]
 [-0.69303746 -0.05760589 -3.13698955]
 [-0.69311113 -0.05791202 -3.13693952]
 [-0.69297435 -0.05833348 -3.13689819]
 [-0.69345735 -0.05754781 -3.13684475]
 [-0.69309383 -0.05785307 -3.13686924]
 [-0.69293794 -0.05812989 -3.13674508]
 [-0.69315341 -0.05806967 -3.13675996]
 [-0.69307451 -0.05788515 -3.13690045]
 [-0.69300283 -0.05756077 -3.13698334]
 [-0.693531   -0.05779185 -3.13688887]
 [-0.69335409 -0.05780556 -3.13685629]
 [-0.69263113 -0.0580613  -3.13670814]
 [-0.69276516 -0.0577647  -3.13690466]
 [-0.69311878 -0.05785136 -3.13680867]
 [-0.69300493 -0.05800273 -3.1368544 ]
 [-0.69300187 -0.05785666 -3.1367488 ]
 [-0.69345957 -0.05796251 -3.13664794]
 [-0.69351793 -0.05759114 -3.13695353]
 [-0.69287222 -0.05825801 -3.1366285 ]
 [-0.69311378 -0.05830719 -3.1368382 ]
 [-0.69239095 -0.05804208 -3.13672473]
 [-0.69321395 -0.05781376 -3.13698518]
 [-0.69346268 -0.05795993 -3.13697437]
 [-0.69330534 -0.05809471 -3.13677025]
 [-0.69341203 -0.05792988 -3.1368232 ]
 [-0.69316943 -0.05795337 -3.13689558]
 [-0.69308777 -0.05796264 -3.13686717]
 [-0.69283497 -0.05751289 -3.13684976]
 [-0.69320543 -0.05764698 -3.1367875 ]
 [-0.69308635 -0.05767193 -3.13683742]
 [-0.69343994 -0.05755667 -3.13686316]
 [-0.6933703  -0.05758602 -3.1368545 ]
 [-0.69307567 -0.05783236 -3.13682188]
 [-0.69291118 -0.05706541 -3.13690729]
 [-0.69323023 -0.05778161 -3.13683232]
 [-0.69303592 -0.05754026 -3.13676091]
 [-0.69289199 -0.05742784 -3.13689629]
 [-0.69346821 -0.05748312 -3.13684839]
 [-0.69318957 -0.05742464 -3.1367652 ]
 [-0.69273794 -0.05732302 -3.1368614 ]
 [-0.69239517 -0.05761498 -3.13681184]
 [-0.6932958  -0.05742312 -3.13687663]
 [-0.69274647 -0.05772542 -3.13690457]
 [-0.69321047 -0.05777656 -3.1367129 ]
 [-0.69307892 -0.05741039 -3.13696212]
 [-0.69346097 -0.05754126 -3.13690303]
 [-0.69268241 -0.05762501 -3.1369232 ]
 [-0.69308878 -0.05780408 -3.13679763]
 [-0.693341   -0.05791577 -3.13684612]
 [-0.69316022 -0.05780198 -3.13680263]
 [-0.69292583 -0.05738842 -3.13695245]
 [-0.69338244 -0.05753513 -3.13691066]
 [-0.69305441 -0.05736206 -3.13686536]
 [-0.69296649 -0.05707186 -3.13700233]
 [-0.69271836 -0.05750807 -3.13692148]
 [-0.69308242 -0.05750105 -3.13683409]
 [-0.69316074 -0.05746595 -3.13688359]
 [-0.69272043 -0.05701361 -3.1370696 ]
 [-0.69299853 -0.05736762 -3.13705111]
 [-0.69322896 -0.05714471 -3.13698577]
 [-0.69313471 -0.05716129 -3.13686797]
 [-0.69268861 -0.05736184 -3.13688866]
 [-0.69339687 -0.05789616 -3.1369462 ]
 [-0.69272777 -0.05814667 -3.13675706]
 [-0.6932718  -0.05746127 -3.13674516]
 [-0.6929737  -0.05792749 -3.13666621]
 [-0.6935955  -0.05768623 -3.13673932]
 [-0.69278166 -0.05743569 -3.1369066 ]
 [-0.69298576 -0.05699721 -3.13699638]
 [-0.69334271 -0.05792787 -3.13668546]
 [-0.69328473 -0.0577557  -3.13682139]
 [-0.6930884  -0.05735391 -3.13693641]
 [-0.69371579 -0.05742358 -3.13680493]
 [-0.69294913 -0.05699926 -3.13697448]
 [-0.69365158 -0.05833763 -3.1366146 ]
 [-0.69342158 -0.05765974 -3.13688924]
 [-0.69336336 -0.05713152 -3.13700741]
 [-0.6932852  -0.05744593 -3.1369338 ]
 [-0.69333193 -0.05777708 -3.13669102]
 [-0.69314216 -0.05772434 -3.13667068]
 [-0.69346443 -0.0578843  -3.13677114]
 [-0.69366837 -0.05731311 -3.13679179]
 [-0.69372206 -0.05730121 -3.13711736]
 [-0.69361319 -0.05732983 -3.13691993]
 [-0.69377481 -0.05750181 -3.13688762]
 [-0.69344353 -0.05768639 -3.13687671]
 [-0.69320749 -0.05695461 -3.13693613]
 [-0.69345971 -0.05797057 -3.13675729]
 [-0.69332416 -0.05749416 -3.13693711]
 [-0.69364452 -0.05748434 -3.13698549]
 [-0.69336097 -0.05719436 -3.13696544]
 [-0.69333611 -0.05754645 -3.13688329]
 [-0.69357814 -0.05703815 -3.13695932]
 [-0.69306611 -0.05727423 -3.13690907]
 [-0.69377669 -0.05747949 -3.13687488]
 [-0.6936289  -0.05703151 -3.13710065]
 [-0.69416486 -0.05734163 -3.1368075 ]
 [-0.69322721 -0.05768008 -3.13678571]
 [-0.69398324 -0.05744487 -3.13682571]
 [-0.69331882 -0.05757611 -3.13676096]
 [-0.69347401 -0.05714528 -3.13688692]
 [-0.69326359 -0.0573125  -3.1368552 ]
 [-0.69364364 -0.05733453 -3.13685798]
 [-0.69348953 -0.05734254 -3.13687636]
 [-0.69333844 -0.0572622  -3.13700693]
 [-0.69354916 -0.05755    -3.13688379]
 [-0.69350153 -0.05722243 -3.13695021]
 [-0.69374815 -0.05717641 -3.13683644]
 [-0.69383862 -0.05777366 -3.13674755]
 [-0.69341068 -0.0577523  -3.13681954]
 [-0.69349882 -0.05813575 -3.13677724]
 [-0.69364255 -0.05745848 -3.13690684]
 [-0.69353047 -0.05748545 -3.13692548]
 [-0.69332153 -0.05715103 -3.13704884]
 [-0.69402227 -0.05740972 -3.13695368]
 [-0.69394532 -0.05760113 -3.13685007]
 [-0.69352826 -0.05737413 -3.13690307]
 [-0.69383652 -0.05711841 -3.13696045]
 [-0.69358186 -0.05716053 -3.13686684]]
