stdPYR
[0.00032615 0.00038471 0.00012021]
stdR
[[0.00060931 0.00048844 0.00018548]]
stdP
[[1.71951398e-04 6.25611827e-05 7.97441992e-05]]
meanPYR
[-0.60907313 -0.05860578 -3.13679976]
numb. data points
204
Position
 [ 0.02660262 -0.02217054  0.78495711]
 [ 0.02661924 -0.02216816  0.78488382]
 [ 0.02661043 -0.02218449  0.78501656]
 [ 0.0266143  -0.0221656   0.78489993]
 [ 0.02661022 -0.02215871  0.78486121]
 [ 0.0266046  -0.02216788  0.78487131]
 [ 0.02660739 -0.02218972  0.78495305]
 [ 0.02662085 -0.02218352  0.78484588]
 [ 0.02660599 -0.02219125  0.78493645]
 [ 0.02661195 -0.02219786  0.78483409]
 [ 0.02660733 -0.02217934  0.78488645]
 [ 0.02660768 -0.0221996   0.78490969]
 [ 0.02660273 -0.02220439  0.78490425]
 [ 0.02658201 -0.02222196  0.78501889]
 [ 0.02659887 -0.02222624  0.78503789]
 [ 0.02658657 -0.02223111  0.78508947]
 [ 0.02659277 -0.02221238  0.78496929]
 [ 0.02659111 -0.02222353  0.78499296]
 [ 0.02659478 -0.02223354  0.78489401]
 [ 0.02659024 -0.02221178  0.78486464]
 [ 0.02659482 -0.02224278  0.78491422]
 [ 0.02659414 -0.02218681  0.7848629 ]
 [ 0.02660044 -0.02225174  0.78487612]
 [ 0.02657438 -0.02223204  0.78505061]
 [ 0.02658305 -0.02222514  0.78490044]
 [ 0.02658267 -0.02225778  0.78501933]
 [ 0.02660287 -0.02222102  0.7848032 ]
 [ 0.02658476 -0.02222978  0.78501435]
 [ 0.02658353 -0.02222837  0.78481108]
 [ 0.02658293 -0.02222917  0.78496415]
 [ 0.02657403 -0.02223223  0.78496051]
 [ 0.02658683 -0.0222192   0.78492744]
 [ 0.0265763  -0.02221816  0.78501809]
 [ 0.02657459 -0.02221281  0.78495436]
 [ 0.02658985 -0.02219556  0.78485446]
 [ 0.02656881 -0.02222322  0.78509772]
 [ 0.0265834  -0.02218438  0.78491128]
 [ 0.02657796 -0.02220474  0.78498037]
 [ 0.02658336 -0.02221579  0.78495884]
 [ 0.0265945  -0.02220025  0.78475293]
 [ 0.02656521 -0.02219029  0.78493191]
 [ 0.02658753 -0.02220359  0.78494429]
 [ 0.02655774 -0.02219087  0.7849822 ]
 [ 0.02657728 -0.02220376  0.78495356]
 [ 0.02658348 -0.02219956  0.78487266]
 [ 0.02657571 -0.02223645  0.78512731]
 [ 0.02656104 -0.02220077  0.78507966]
 [ 0.02656713 -0.02220873  0.78499589]
 [ 0.02656843 -0.02219838  0.78492703]
 [ 0.02657432 -0.02219633  0.78494088]
 [ 0.02656726 -0.02220862  0.78497044]
 [ 0.02655658 -0.02222021  0.78510929]
 [ 0.02656762 -0.02221822  0.78498929]
 [ 0.02656887 -0.02219039  0.78490016]
 [ 0.02655684 -0.02220119  0.78489913]
 [ 0.02657096 -0.02221759  0.78496442]
 [ 0.02656793 -0.02221764  0.7849496 ]
 [ 0.02656753 -0.02219417  0.78492167]
 [ 0.0265618  -0.02220766  0.78492683]
 [ 0.02655777 -0.0222153   0.78499262]
 [ 0.02655583 -0.02222471  0.7850882 ]
 [ 0.02655253 -0.02223318  0.78505208]
 [ 0.02656159 -0.02220375  0.7848457 ]
 [ 0.0265613  -0.0222278   0.78496908]
 [ 0.0265581  -0.02220499  0.78495253]
 [ 0.02655551 -0.02221779  0.78496355]
 [ 0.0265482  -0.0222072   0.78505718]
 [ 0.02654267 -0.02222907  0.78514013]
 [ 0.0265487  -0.02218357  0.78497136]
 [ 0.02654929 -0.02220336  0.78488738]
 [ 0.02655363 -0.02219972  0.78492093]
 [ 0.02655395 -0.02222922  0.78504856]
 [ 0.02654525 -0.02220887  0.78496497]
 [ 0.02653732 -0.0222341   0.78505822]
 [ 0.02656741 -0.02219133  0.78481219]
 [ 0.02654971 -0.02224411  0.78504334]
 [ 0.02655532 -0.02225505  0.78498321]]
PitchYawRoll
